purchase_id,purchase_date,purchase_description,total_landed_cost
379,2026-03-06,Jackson Chourio Single,54.54
380,2026-03-06,Ceddanne Rafaela Single,48.58
381,2026-03-08,Elly De La Cruz Single,49.22
382,2026-03-13,Corbin Carroll Single,27.77
383,2026-03-15,Gunnar Henderson Single,156.24
384,2026-02-02,Jayden Daniels Single,57.11
457,2026-02-23,Wyatt Langford Single,48.69
458,2026-02-25,Seiya Suzuki Single,62.68
459,2026-02-27,Xavier Isaac Single,17.49
484,2026-02-20,Roman Anthony 1st Bowman 20 card lot,40.00
485,2026-03-20,Mixed Baseball 92 Card Lot,63.08
486,2026-04-08,2026 Bowman Basketball Value Box,19.69
487,2026-04-08,Victor Wembanyama PSA 10 Single,143.94
488,2026-01-01,Bulk Vintage Lot Gifted,0.00
489,2025-09-01,Legacy Purchase Data Bulk Singles,1000.00
490,2026-02-27,Colton Cowser PSA 10 4 Card Lot,73.44
